faculty,dean,number,url
FAS,Oleksandr Vasyliovych Zbrutsky,204-82-24,http://faks.kpi.ua/
FAM,Ivan Andrіiovych Dychka,204-81-15,http://www.fpm.kpi.ua/
FBE,Maksymenko Vitalyi Borisevich,204-85-74,http://fbmi.kpi.ua/
FBB,Oleksiy Martem'yanovych Dugan,204-94-52,http://biotech.kpi.ua/
FCE,Panov Yevgen Mykolayovich,204-21-27,http://ihf.kpi.ua/
FCT,Astrelin Ihor Mykhaylovych,236-97-74,http://xtf.kpi.ua/
FEPEA,Alexander Stanislavovych Yandulskyy,204-92-39,http://fea.kpi.ua/
FE,Zhuykov Valeriy Yakovlevych,204-94-32,http://fel.kpi.ua/
FHPE,Evgen Mykolayovych Pysmenny,204-80-98,http://tef.kpi.ua/
FICT,Oleksandr Anatoliiovich Pavlov,204-98-27,http://fiot.kpi.ua/
